; CSV, generated by libsigrok4DSL 0.2.0 on Wed Apr 17 14:33:03 2019
; Channels (3/16)
; Sample rate: 1 MHz
; Sample count: 9.562816M Samples
Time(s), 0: RX, 1: TX, 2: DE
3.592619,0,1,0
3.592827,1,1,0
3.592931,0,1,0
3.593035,1,1,0
3.593243,0,1,0
3.594179,1,1,0
3.594283,0,1,0
3.594804,1,1,0
3.594908,0,1,0
3.595116,1,1,0
3.595324,0,1,0
3.595844,1,1,0
3.595948,0,1,0
3.59626,1,1,0
3.596364,0,1,0
3.596572,1,1,0
3.596676,0,1,0
3.596884,1,1,0
3.596988,0,1,0
3.597092,1,1,0
3.597404,0,1,0
3.597508,1,1,0
3.597612,0,1,0
3.59834,1,1,0
3.598444,0,1,0
3.598652,1,1,0
3.598756,0,1,0
3.598964,1,1,0
3.599068,0,1,0
3.599172,1,1,0
3.599484,0,1,0
3.599692,1,1,0
3.599796,0,1,0
3.600421,1,1,0
3.600525,0,1,0
3.600733,1,1,0
3.600837,0,1,0
3.600941,1,1,0
3.601045,0,1,0
3.601149,1,1,0
3.601566,0,1,0
3.601578,1,1,0
3.917055,0,1,0
3.917159,1,1,0
3.918095,0,1,0
3.919031,1,1,0
3.919135,0,1,0
3.919239,1,1,0
3.920175,0,1,0
3.920279,1,1,0
3.920383,0,1,0
3.920487,1,1,0
3.920591,0,1,0
3.920799,1,1,0
3.920903,0,1,0
3.921007,1,1,0
3.921215,0,1,0
3.922152,1,1,0
3.922256,0,1,0
3.92288,1,1,0
3.923088,0,1,0
3.923192,1,1,0
3.923296,0,1,0
3.923816,1,1,0
3.92392,0,1,0
3.924232,1,1,0
3.924336,0,1,0
3.92444,1,1,0
3.924752,0,1,0
3.925272,1,1,0
3.925376,0,1,0
3.926312,1,1,0
3.926416,0,1,0
3.92652,1,1,0
3.926624,0,1,0
3.927353,1,1,0
3.927457,0,1,0
3.927769,1,1,0
3.928081,0,1,0
3.928393,1,1,0
3.928498,0,1,0
3.92851,1,1,0
3.94819,0,1,0
3.948291,1,1,0
3.949227,0,1,0
3.950163,1,1,0
3.950266,0,1,0
3.950371,1,1,0
3.951307,0,1,0
3.951411,1,1,0
3.951514,0,1,0
3.951619,1,1,0
3.951722,0,1,0
3.951931,1,1,0
3.952034,0,1,0
3.952139,1,1,0
3.952347,0,1,0
3.953283,1,1,0
3.953386,0,1,0
3.953907,1,1,0
3.95401,0,1,0
3.954323,1,1,0
3.954426,0,1,0
3.955051,1,1,0
3.955259,0,1,0
3.955363,1,1,0
3.955466,0,1,0
3.955571,1,1,0
3.955883,0,1,0
3.956403,1,1,0
3.956506,0,1,0
3.956611,1,1,0
3.957027,0,1,0
3.957443,1,1,0
3.957547,0,1,0
3.957755,1,1,0
3.957859,0,1,0
3.957964,1,1,0
3.958067,0,1,0
3.958484,1,1,0
3.958587,0,1,0
3.959524,1,1,0
3.959627,0,1,0
3.960564,1,1,0
3.960667,0,1,0
3.961604,1,1,0
3.961707,0,1,0
3.961812,1,1,0
3.962436,0,1,0
3.96254,1,1,0
3.962747,0,1,0
3.962852,1,1,0
