ID,Time[s],1:UART: RX/TX
1088,7.17161,Stop bit
1089,7.17171,Start bit
1090,7.17181,00
1091,7.17265,Stop bit
1092,7.17275,Start bit
1093,7.17285,00
1094,7.17369,Stop bit
1095,7.17379,Start bit
1096,7.17389,29
1097,7.17473,Stop bit
1098,7.17483,Start bit
1099,7.17493,0B
1100,7.17577,Stop bit
1101,7.17587,Start bit
1102,7.17597,03
1103,7.17681,Stop bit
1104,7.17691,Start bit
1105,7.17701,AC
1106,7.17785,Stop bit
1107,7.17795,Start bit
1108,7.17805,FF
1109,7.17889,Stop bit
1110,7.62825,Start bit
1111,7.62835,FF
1112,7.62919,Stop bit
1113,7.62929,Start bit
1114,7.62939,00
1115,7.63023,Stop bit
1116,7.63033,Start bit
1117,7.63043,FF
1118,7.63127,Stop bit
1119,7.63137,Start bit
1120,7.63147,A5
1121,7.63231,Stop bit
1122,7.63241,Start bit
1123,7.63251,00
1124,7.63335,Stop bit
1125,7.63345,Start bit
1126,7.63355,90
1127,7.63439,Stop bit
1128,7.63449,Start bit
1129,7.63459,10
1130,7.63543,Stop bit
1131,7.63553,Start bit
1132,7.63563,D2
1133,7.63647,Stop bit
1134,7.63657,Start bit
1135,7.63667,01
1136,7.63751,Stop bit
1137,7.63761,Start bit
1138,7.63771,D2
1139,7.63855,Stop bit
1140,7.63865,Start bit
1141,7.63875,02
1142,7.63959,Stop bit
1143,7.63969,Start bit
1144,7.63979,EA
1145,7.64063,Stop bit
1146,7.64073,Start bit
1147,7.64084,FF
1148,7.64167,Stop bit
1149,9.14037,Start bit
1150,9.14048,FF
1151,9.14131,Stop bit
1152,9.14142,Start bit
1153,9.14152,FF
1154,9.14235,Stop bit
1155,9.14245,Start bit
1156,9.14256,FF
1157,9.14339,Stop bit
1158,9.14349,Start bit
1159,9.1436,FF
1160,9.14443,Stop bit
1161,9.14453,Start bit
1162,9.14464,FF
1163,9.14547,Stop bit
1164,9.14558,Start bit
1165,9.14568,FF
1166,9.14651,Stop bit
1167,9.14662,Start bit
1168,9.14672,FF
1169,9.14755,Stop bit
1170,9.14766,Start bit
1171,9.14776,FF
1172,9.14859,Stop bit
1173,9.1487,Start bit
1174,9.1488,00
1175,9.14963,Stop bit
1176,9.14974,Start bit
1177,9.14984,FF
1178,9.15067,Stop bit
1179,9.15078,Start bit
1180,9.15088,A5
1181,9.15171,Stop bit
1182,9.15182,Start bit
1183,9.15192,01
1184,9.15275,Stop bit
1185,9.15286,Start bit
1186,9.15296,0F
1187,9.15379,Stop bit
1188,9.1539,Start bit
1189,9.154,10
1190,9.15483,Stop bit
1191,9.15494,Start bit
1192,9.15504,02
1193,9.15587,Stop bit
1194,9.15598,Start bit
