ID,Time[s],1:UART: RX/TX
889,9.51302,[00]
890,9.51385,Stop bit
891,9.51395,Start bit
892,9.51406,[FF]
893,9.51489,Stop bit
894,9.51499,Start bit
895,9.5151,[A5]
896,9.51593,Stop bit
897,9.51603,Start bit
898,9.51614,[00]
899,9.51697,Stop bit
900,9.51707,Start bit
901,9.51718,[10]
902,9.51801,Stop bit
903,9.51811,Start bit
904,9.51822,`
905,9.51905,Stop bit
906,9.51915,Start bit
907,9.51926,[06]
908,9.52009,Stop bit
909,9.52019,Start bit
910,9.5203,[01]
911,9.52113,Stop bit
912,9.52123,Start bit
913,9.52134,[04]
914,9.52217,Stop bit
915,9.52227,Start bit
916,9.52238,[01]
917,9.52321,Stop bit
918,9.52331,Start bit
919,9.52342, 
920,9.52425,Stop bit
